caso,contas_no_caso,contas_autoras,contas_so_mencionadas,alvos,total_postagens,postagens_por_autora,autoras_com_1_postagem,parcela_autoras_1_postagem,max_postagens_uma_conta,parcela_top1pct_autoras,parcela_top10pct_autoras
arthur_do_val,11358,9267,2091,1,13893,1.5,7257,0.783,77,0.096,0.322
monark,5574,4140,1434,1,4803,1.16,3750,0.906,37,0.055,0.224
