caso,data,dias_desde_estopim,fase,papel,mencoes,mencoes_dia,parcela_dia,contas,de_acusadores,de_defensores,de_neutros,n_nos,nd
arthur_do_val,2022-03-03,-1,pre_crise,demais,736,1955,0.3764705882352941,294,0.654891304347826,0.10461956521739131,0.24048913043478262,792,False
arthur_do_val,2022-03-03,-1,pre_crise,instituicao_legitimadora,7,1955,0.0035805626598465474,3,0.8571428571428571,0.0,0.14285714285714285,792,False
arthur_do_val,2022-03-03,-1,pre_crise,lider_acusacao,3,1955,0.001534526854219949,1,0.6666666666666666,0.0,0.3333333333333333,792,False
arthur_do_val,2022-03-03,-1,pre_crise,outro,312,1955,0.15959079283887467,5,0.6794871794871795,0.10256410256410256,0.21794871794871795,792,False
arthur_do_val,2022-03-03,-1,pre_crise,veiculo,5,1955,0.0025575447570332483,2,0.6,0.0,0.4,792,False
arthur_do_val,2022-03-04,0,estopim,aliado_do_alvo,99,646,0.15325077399380804,4,0.7171717171717171,0.15151515151515152,0.13131313131313133,447,False
arthur_do_val,2022-03-04,0,estopim,alvo,268,646,0.4148606811145511,1,0.6977611940298507,0.17537313432835822,0.12686567164179105,447,False
arthur_do_val,2022-03-04,0,estopim,demais,228,646,0.35294117647058826,141,0.5877192982456141,0.17105263157894737,0.2412280701754386,447,False
arthur_do_val,2022-03-04,0,estopim,instituicao_legitimadora,13,646,0.020123839009287926,2,0.6923076923076923,0.23076923076923078,0.07692307692307693,447,False
arthur_do_val,2022-03-04,0,estopim,lider_acusacao,2,646,0.0030959752321981426,1,1.0,0.0,0.0,447,False
arthur_do_val,2022-03-04,0,estopim,outro,32,646,0.04953560371517028,3,0.65625,0.21875,0.125,447,False
arthur_do_val,2022-03-04,0,estopim,veiculo,4,646,0.006191950464396285,3,0.75,0.25,0.0,447,False
arthur_do_val,2022-03-05,1,pico,aliado_do_alvo,116,1118,0.1037567084078712,5,0.6637931034482759,0.1206896551724138,0.21551724137931033,819,False
arthur_do_val,2022-03-05,1,pico,alvo,402,1118,0.3595706618962433,1,0.7263681592039801,0.1318407960199005,0.1417910447761194,819,False
arthur_do_val,2022-03-05,1,pico,demais,532,1118,0.47584973166368516,317,0.693609022556391,0.17105263157894737,0.13533834586466165,819,False
arthur_do_val,2022-03-05,1,pico,instituicao_legitimadora,12,1118,0.01073345259391771,3,0.75,0.08333333333333333,0.16666666666666666,819,False
arthur_do_val,2022-03-05,1,pico,lider_acusacao,6,1118,0.005366726296958855,1,0.5,0.16666666666666666,0.3333333333333333,819,False
arthur_do_val,2022-03-05,1,pico,outro,21,1118,0.018783542039355994,3,0.7142857142857143,0.23809523809523808,0.047619047619047616,819,False
arthur_do_val,2022-03-05,1,pico,veiculo,29,1118,0.0259391771019678,3,0.6206896551724138,0.1724137931034483,0.20689655172413793,819,False
arthur_do_val,2022-03-06,2,declinio,aliado_do_alvo,102,1305,0.07816091954022988,5,0.6764705882352942,0.18627450980392157,0.13725490196078433,812,False
arthur_do_val,2022-03-06,2,declinio,alvo,688,1305,0.5272030651340996,1,0.6351744186046512,0.22529069767441862,0.13953488372093023,812,False
arthur_do_val,2022-03-06,2,declinio,demais,490,1305,0.37547892720306514,262,0.5489795918367347,0.24489795918367346,0.20612244897959184,812,False
arthur_do_val,2022-03-06,2,declinio,instituicao_legitimadora,5,1305,0.0038314176245210726,2,0.8,0.0,0.2,812,False
arthur_do_val,2022-03-06,2,declinio,lider_acusacao,5,1305,0.0038314176245210726,1,1.0,0.0,0.0,812,False
arthur_do_val,2022-03-06,2,declinio,outro,8,1305,0.006130268199233717,3,1.0,0.0,0.0,812,False
arthur_do_val,2022-03-06,2,declinio,veiculo,7,1305,0.0053639846743295016,2,0.5714285714285714,0.2857142857142857,0.14285714285714285,812,False
arthur_do_val,2022-03-07,3,declinio,aliado_do_alvo,68,915,0.07431693989071038,5,0.5588235294117647,0.29411764705882354,0.14705882352941177,651,False
arthur_do_val,2022-03-07,3,declinio,alvo,488,915,0.5333333333333333,1,0.6905737704918032,0.15368852459016394,0.1557377049180328,651,False
arthur_do_val,2022-03-07,3,declinio,demais,298,915,0.3256830601092896,193,0.5939597315436241,0.13758389261744966,0.2684563758389262,651,False
arthur_do_val,2022-03-07,3,declinio,instituicao_legitimadora,7,915,0.007650273224043716,3,0.8571428571428571,0.0,0.14285714285714285,651,False
arthur_do_val,2022-03-07,3,declinio,lider_acusacao,4,915,0.004371584699453552,1,1.0,0.0,0.0,651,False
arthur_do_val,2022-03-07,3,declinio,outro,7,915,0.007650273224043716,2,0.8571428571428571,0.14285714285714285,0.0,651,False
arthur_do_val,2022-03-07,3,declinio,veiculo,43,915,0.046994535519125684,3,0.6976744186046512,0.16279069767441862,0.13953488372093023,651,False
arthur_do_val,2022-03-08,4,declinio,aliado_afastado,146,1254,0.11642743221690591,4,0.7328767123287672,0.14383561643835616,0.1232876712328767,759,False
arthur_do_val,2022-03-08,4,declinio,aliado_do_alvo,14,1254,0.011164274322169059,1,0.42857142857142855,0.14285714285714285,0.42857142857142855,759,False
arthur_do_val,2022-03-08,4,declinio,alvo,397,1254,0.31658692185007975,1,0.7052896725440806,0.14105793450881612,0.15365239294710328,759,False
arthur_do_val,2022-03-08,4,declinio,demais,611,1254,0.48724082934609253,318,0.679214402618658,0.15220949263502456,0.1685761047463175,759,False
arthur_do_val,2022-03-08,4,declinio,instituicao_legitimadora,24,1254,0.019138755980861243,3,0.875,0.041666666666666664,0.08333333333333333,759,False
arthur_do_val,2022-03-08,4,declinio,lider_acusacao,5,1254,0.003987240829346092,1,0.6,0.2,0.2,759,False
arthur_do_val,2022-03-08,4,declinio,outro,8,1254,0.006379585326953748,2,0.5,0.5,0.0,759,False
arthur_do_val,2022-03-08,4,declinio,veiculo,49,1254,0.03907496012759171,3,0.8367346938775511,0.02040816326530612,0.14285714285714285,759,False
arthur_do_val,2022-03-09,5,declinio,aliado_afastado,110,1226,0.08972267536704731,4,0.5818181818181818,0.21818181818181817,0.2,837,False
arthur_do_val,2022-03-09,5,declinio,aliado_do_alvo,2,1226,0.0016313213703099511,1,0.5,0.0,0.5,837,False
arthur_do_val,2022-03-09,5,declinio,alvo,509,1226,0.41517128874388254,1,0.6954813359528488,0.17485265225933203,0.12966601178781925,837,False
arthur_do_val,2022-03-09,5,declinio,demais,536,1226,0.4371941272430669,331,0.667910447761194,0.14925373134328357,0.1828358208955224,837,False
arthur_do_val,2022-03-09,5,declinio,instituicao_legitimadora,22,1226,0.01794453507340946,3,0.7272727272727273,0.045454545454545456,0.22727272727272727,837,False
arthur_do_val,2022-03-09,5,declinio,lider_acusacao,3,1226,0.0024469820554649264,2,0.6666666666666666,0.0,0.3333333333333333,837,False
arthur_do_val,2022-03-09,5,declinio,outro,14,1226,0.011419249592169658,3,0.5,0.14285714285714285,0.35714285714285715,837,False
