caso,data_pico,dias_estopim_ate_pico,volume_pico,razao_pico_estopim,razao_pico_media_pre,fracao_dia_apos_pico,dias_pico_ate_metade,dias_pico_ate_quarto
arthur_do_val,2022-03-05,1,896,1.77,1.16,0.96,,
monark,2022-02-09,1,1339,1.2,,0.44,1.0,4.0
