caso,data,dias_desde_estopim,fase,n_nos,parcela_alvo,parcela_instituicao,replies_alvo,parcela_defensora,likes_defesa,mira_lideres,mencoes_lideres,nd
arthur_do_val,2022-02-25,-7,pre_crise,818,0.5122507122507123,0.0,0.6282608695652174,0.11304347826086956,0.4814189189189189,,4.0,False
arthur_do_val,2022-02-26,-6,pre_crise,408,0.47106325706594887,0.0,0.5120643431635389,0.16890080428954424,0.09361702127659574,,,False
arthur_do_val,2022-02-27,-5,pre_crise,341,0.5799180327868853,0.0,0.5866666666666667,0.12,0.1358695652173913,,5.0,False
arthur_do_val,2022-02-28,-4,pre_crise,1113,0.39655172413793105,0.0054858934169279,0.27593818984547464,0.13171449595290655,0.461295638650976,0.31843575418994413,179.0,False
arthur_do_val,2022-03-01,-3,pre_crise,803,0.6385362210604929,0.0014936519790888724,0.6304347826086957,0.11670480549199085,0.12600763682647434,0.4166666666666667,12.0,False
arthur_do_val,2022-03-02,-2,pre_crise,669,0.41394753678822777,0.0006397952655150352,0.33428165007112376,0.1251778093883357,0.012853470437017995,0.2897727272727273,176.0,False
arthur_do_val,2022-03-03,-1,pre_crise,792,0.3800511508951407,0.0035805626598465474,0.16260162601626016,0.13356562137049943,0.016434366548783025,0.174496644295302,149.0,False
arthur_do_val,2022-03-04,0,estopim,447,0.4148606811145511,0.020123839009287926,0.1341222879684418,0.1873767258382643,0.3821723109317424,,,False
arthur_do_val,2022-03-05,1,pico,819,0.3595706618962433,0.01073345259391771,0.11272321428571429,0.17857142857142858,0.8523290386521308,0.3333333333333333,18.0,False
arthur_do_val,2022-03-06,2,declinio,812,0.5272030651340996,0.0038314176245210726,0.4074505238649593,0.24563445867287545,0.12179005856735245,,,False
arthur_do_val,2022-03-07,3,declinio,651,0.5333333333333333,0.007650273224043716,0.09664948453608248,0.16237113402061856,0.053282704556589906,,9.0,False
arthur_do_val,2022-03-08,4,declinio,759,0.31658692185007975,0.019138755980861243,0.07630979498861047,0.14350797266514806,0.00655840099937539,0.15555555555555556,135.0,False
arthur_do_val,2022-03-09,5,declinio,837,0.41517128874388254,0.01794453507340946,0.2308598351001178,0.20023557126030625,0.3854027166634781,0.2692307692307692,26.0,False
arthur_do_val,2022-03-10,6,declinio,678,0.339737108190091,0.01314459049544995,0.12594458438287154,0.14987405541561713,0.23898916967509026,0.26785714285714285,56.0,False
arthur_do_val,2022-03-11,7,declinio,761,0.2715654952076677,0.02156549520766773,0.07928994082840236,0.16094674556213018,0.010482814232436246,0.3564356435643564,202.0,False
arthur_do_val,2022-03-12,8,declinio,751,0.23153803442531926,0.3720155469183787,0.05555555555555555,0.1506172839506173,0.13811087502414526,0.2916666666666667,120.0,False
arthur_do_val,2022-03-13,9,declinio,779,0.24330900243309003,0.09813463098134631,0.08492822966507177,0.15430622009569378,0.05506520879989461,0.14285714285714285,77.0,False
arthur_do_val,2022-03-14,10,declinio,386,0.24146341463414633,0.00853658536585366,0.05077262693156733,0.16335540838852097,0.028312367845751352,0.5,52.0,False
monark,2022-02-07,-1,pre_crise,2,1.0,0.0,0.5,0.0,0.0,,,True
monark,2022-02-08,0,estopim,717,0.14143426294820718,0.3336653386454183,0.026929982046678635,0.31687612208258525,0.09612169657783731,0.07476635514018691,107.0,False
monark,2022-02-09,1,pico,1111,0.12666666666666668,0.29133333333333333,0.03435399551904406,0.4324122479462285,0.3351432588355069,0.06097560975609756,82.0,False
monark,2022-02-10,2,declinio,517,0.19285714285714287,0.15714285714285714,0.10204081632653061,0.3333333333333333,0.5533567134268537,0.2857142857142857,35.0,False
monark,2022-02-11,3,declinio,658,0.37982565379825656,0.049813200498132,0.25161290322580643,0.49032258064516127,0.47307620644680454,,,False
monark,2022-02-12,4,declinio,479,0.2534722222222222,0.036458333333333336,0.09198113207547169,0.5377358490566038,0.7403314917127072,,,False
monark,2022-02-13,5,pos_rito,279,0.20689655172413793,0.07241379310344828,0.11299435028248588,0.4971751412429379,0.7764026402640264,,,False
monark,2022-02-14,6,declinio,574,0.42296918767507,0.0196078431372549,0.2764378478664193,0.43042671614100186,0.2115694289607333,0.5925925925925926,27.0,False
